date,pnl_usd,trade_num,tier,signal
2025-07-16,-395.36,1,PRB,Long_PRB
2025-07-23,-429.08,2,PRB,Long_PRB
2025-07-25,-83.84,3,PRB,Short_PRB
2025-07-28,-851.24,4,A,Short_A
2025-07-29,-856.98,5,A,Long_A
2025-08-07,2267.60,6,PRB,Short_PRB
2025-08-08,-22.62,7,PRB,Short_PRB
2025-08-11,-811.58,8,A,Short_A
2025-08-12,704.34,9,A,Long_A
2025-08-13,-24.36,10,PRB,Long_PRB
2025-08-18,782.60,11,A,Long_A
2025-08-29,1017.38,12,A,Long_A
2025-09-03,1095.64,13,A,Short_A
2025-09-11,-741.92,14,A,Short_A
2025-09-17,-829.36,15,A,Long_A
2025-09-22,-794.36,16,A,Short_A
2025-09-23,-26.10,17,PRB,Long_PRB
2025-09-30,2375.20,18,PRB,Short_PRB
2025-11-04,2298.90,19,PRB,Short_PRB
2025-11-05,-418.32,20,PRB,Short_PRB
2025-11-17,547.82,21,A,Short_A
2025-11-18,2325.12,22,PRB,Long_PRB
2025-11-25,-410.88,23,PRB,Short_PRB
2025-11-26,-17.40,24,PRB,Long_PRB
2025-12-02,1330.42,25,A,Short_A
2025-12-10,1095.64,26,A,Long_A
2025-12-16,2325.12,27,PRB,Short_PRB
2025-12-31,1408.68,28,A,Long_A
2026-01-02,2289.12,29,PRB,Long_PRB
2026-01-06,-27.84,30,PRB,Short_PRB
2026-01-07,-403.84,31,PRB,Short_PRB
2026-01-15,-17.40,32,PRB,Long_PRB
2026-01-16,-177.40,33,PRB,Long_PRB
2026-01-21,-337.40,34,PRB,Short_PRB
2026-01-22,-230.62,35,PRB,Short_PRB
2026-01-26,-813.54,36,A,Short_A
2026-01-28,-427.32,37,PRB,Long_PRB
2026-02-10,2334.64,38,PRB,Short_PRB
2026-02-17,-402.36,39,PRB,Long_PRB
2026-03-05,782.60,40,A,Short_A
2026-03-19,-20.88,41,PRB,Short_PRB
2026-03-20,-22.62,42,PRB,Long_PRB
2026-03-26,-17.40,43,PRB,Long_PRB
2026-04-02,-409.36,44,PRB,Short_PRB
2026-04-21,-815.36,45,A,Short_A
2026-04-23,1252.16,46,A,Short_A
2026-04-28,-117.40,47,PRB,Long_PRB
2026-04-30,-26.10,48,PRB,Short_PRB
2026-05-04,1017.38,49,A,Short_A
2026-05-07,-794.58,50,A,Short_A
2026-05-08,-859.94,51,A,Short_A
2026-05-21,2308.16,52,PRB,Short_PRB
2026-05-26,-20.88,53,PRB,Short_PRB
2026-05-29,2327.60,54,PRB,Short_PRB
2026-06-05,2329.36,55,PRB,Long_PRB
2026-06-10,-404.14,56,PRB,Short_PRB
2026-06-17,-404.88,57,PRB,Long_PRB
2026-06-24,-410.88,58,PRB,Short_PRB
2026-07-08,-416.10,59,PRB,Long_PRB
2026-07-10,939.12,60,A,Short_A