date,pnl_usd,trade_num
2024-12-31,-382.40,1
2025-01-08,2217.12,2
2025-01-14,-434.28,3
2025-01-28,-423.60,4
2025-01-29,-26.10,5
2025-01-30,-412.62,6
2025-02-12,-29.58,7
2025-02-19,-440.72,8
2025-02-27,-19.14,1
2025-02-28,-431.02,2
2025-03-06,-104.88,3
2025-03-13,-29.58,4
2025-03-14,-437.76,5
2025-03-18,-17.40,6
2025-03-25,-19.14,7
2025-03-26,-412.08,8
2025-03-27,-58.32,9
2025-04-02,-423.28,10
2025-04-17,2380.16,11
2025-04-22,-437.76,1
2025-04-24,-32.88,2
2025-04-29,-403.84,3
2025-05-07,-392.88,4
2025-05-28,-20.88,5
2025-06-10,-29.58,6
2025-06-17,-38.08,1
2025-06-20,-24.36,2
2025-06-26,-22.62,3
2025-06-27,-20.88,4
2025-07-02,-382.40,5
2025-07-08,-412.08,6
2025-07-16,-395.36,7
2025-07-22,-29.58,8
2025-07-23,-429.08,9
2025-07-24,-438.48,10
2025-07-25,-83.84,11
2025-07-30,-29.58,12
2025-08-07,2267.60,13
2025-08-08,-22.62,14
2025-08-13,-24.36,1
2025-08-21,-419.84,2
2025-09-03,-22.62,3
2025-09-09,-60.28,4
2025-09-10,-62.88,5
2025-09-23,-26.10,6
2025-09-30,2375.20,7
2025-10-16,-387.40,1
2025-10-31,-399.62,2
2025-11-04,2298.90,3
2025-11-05,-418.32,4
2025-11-06,-411.84,5
2025-11-18,2325.12,6
2025-11-21,-419.12,7
2025-11-25,-410.88,8
2025-11-26,-17.40,9
2025-12-02,-406.12,1
2025-12-03,2321.40,2
2025-12-09,-302.28,3
2025-12-16,2325.12,4
2025-12-19,-27.84,5
2026-01-02,2289.12,6
2026-01-06,-27.84,7
2026-01-07,-403.84,8
2026-01-08,2252.60,9
2026-01-13,2284.16,10
2026-01-15,-17.40,11
2026-01-16,-177.40,12
2026-01-21,-337.40,13
2026-01-22,-230.62,14
2026-01-28,-427.32,1
2026-02-10,2334.64,2
2026-02-17,-402.36,3
2026-02-26,-289.12,4
2026-03-05,-395.36,5
2026-03-13,-17.40,6
2026-03-19,-20.88,7
2026-03-20,-22.62,8
2026-03-26,-17.40,1
2026-03-27,-19.14,2
2026-03-31,-419.84,3
2026-04-02,-409.36,4
2026-04-10,-29.58,5
2026-04-16,-393.14,6
2026-04-21,-398.64,7
2026-04-28,-117.40,8
2026-04-30,-26.10,9
2026-05-21,2308.16,1
2026-05-22,2366.40,2
2026-05-26,-20.88,3
2026-05-29,2327.60,4
2026-06-05,2329.36,5
2026-06-10,-404.14,6
2026-06-17,-404.88,7
2026-06-24,-410.88,8
2026-07-01,-27.84,9
2026-07-08,-416.10,10